  ~~~ #594540 @ 61033.939 ms: miss_ratio = 0.20029, load_admit = 0.420, cache_tp = 1695.645, core_tp = 0.000
  ~~~ #594540 @ 61534.325 ms: miss_ratio = 0.19864, load_admit = 0.380, cache_tp = 10344.009, core_tp = 63.951
  ~~~ #594540 @ 62034.442 ms: miss_ratio = 0.19756, load_admit = 0.380, cache_tp = 8773.946, core_tp = 239.944
  ~~~ #594540 @ 62534.533 ms: miss_ratio = 0.19612, load_admit = 0.340, cache_tp = 8838.394, core_tp = 0.000
  ~~~ #594540 @ 63034.956 ms: miss_ratio = 0.19232, load_admit = 0.330, cache_tp = 26489.617, core_tp = 511.568
  ~~~ #594540 @ 63535.058 ms: miss_ratio = 0.19140, load_admit = 0.340, cache_tp = 6086.750, core_tp = 95.980
  ~~~ #594540 @ 64035.405 ms: miss_ratio = 0.19080, load_admit = 0.320, cache_tp = 4716.730, core_tp = 119.917
  ~~~ #594540 @ 64535.559 ms: miss_ratio = 0.19010, load_admit = 0.300, cache_tp = 5190.396, core_tp = 71.978
  ~~~ #594540 @ 65035.675 ms: miss_ratio = 0.18953, load_admit = 0.300, cache_tp = 5094.822, core_tp = 79.982
  ~~~ #594540 @ 65535.732 ms: miss_ratio = 0.18896, load_admit = 0.310, cache_tp = 3919.553, core_tp = 31.996
  ~~~ #594540 @ 66035.746 ms: miss_ratio = 0.18819, load_admit = 0.270, cache_tp = 6431.817, core_tp = 151.996
  ~~~ #594540 @ 66536.139 ms: miss_ratio = 0.18752, load_admit = 0.250, cache_tp = 4420.527, core_tp = 55.956
  ~~~ #594540 @ 67036.144 ms: miss_ratio = 0.18628, load_admit = 0.230, cache_tp = 9679.912, core_tp = 135.999
  ~~~ #594540 @ 67536.261 ms: miss_ratio = 0.18533, load_admit = 0.220, cache_tp = 6678.429, core_tp = 63.985
  ~~~ #594540 @ 68036.443 ms: miss_ratio = 0.18508, load_admit = 0.200, cache_tp = 2287.168, core_tp = 55.980
  ~~~ #594540 @ 68536.689 ms: miss_ratio = 0.18378, load_admit = 0.200, cache_tp = 10107.024, core_tp = 119.941
  ~~~ #594540 @ 69036.727 ms: miss_ratio = 0.18324, load_admit = 0.180, cache_tp = 3687.720, core_tp = 63.995
  ~~~ #594540 @ 69536.941 ms: miss_ratio = 0.18172, load_admit = 0.180, cache_tp = 11619.044, core_tp = 127.945
  ~~~ #594540 @ 70037.113 ms: miss_ratio = 0.18098, load_admit = 0.160, cache_tp = 6493.763, core_tp = 79.972
  ~~~ #594540 @ 70537.135 ms: miss_ratio = 0.17877, load_admit = 0.120, cache_tp = 18207.200, core_tp = 335.985
  ~~~ #594540 @ 71037.347 ms: miss_ratio = 0.17605, load_admit = 0.090, cache_tp = 20775.183, core_tp = 39.983
  ~~~ #594540 @ 71537.666 ms: miss_ratio = 0.17550, load_admit = 0.070, cache_tp = 7235.382, core_tp = 487.689
  ~~~ #594540 @ 72037.728 ms: miss_ratio = 0.17481, load_admit = 0.030, cache_tp = 6655.178, core_tp = 167.979
  ~~~ #594540 @ 72537.931 ms: miss_ratio = 0.17380, load_admit = 0.050, cache_tp = 8324.626, core_tp = 87.964
  ~~~ #594540 @ 73038.358 ms: miss_ratio = 0.17336, load_admit = 0.060, cache_tp = 4076.517, core_tp = 0.000
  ~~~ #594540 @ 73538.729 ms: miss_ratio = 0.17308, load_admit = 0.040, cache_tp = 2821.907, core_tp = 167.876
  ~~~ #594540 @ 74038.857 ms: miss_ratio = 0.17281, load_admit = 0.040, cache_tp = 2535.349, core_tp = 55.986
  ~~~ #594540 @ 74539.009 ms: miss_ratio = 0.17183, load_admit = 0.060, cache_tp = 7269.789, core_tp = 31.990

Statistics:

   usage | cache |  occupied       7682 pages     93.77 %
         |       |      free        510 pages      6.22 %
         |       |     clean          0 pages      0.00 %
         |       |     dirty       7682 pages    100.00 %

  blocks | cache |   read ->      74231 pages     47.97 %
         |       |  write <-      80511 pages     52.02 %
         |       |     total     154742 pages    100.00 %
         |  core |   read ->      16330 pages     93.12 %
         |       |  write <-       1205 pages      6.87 %
         |       |     total      17535 pages    100.00 %
         |     total             169195 pages    100.00 %

    reqs |  read |     hit $      74808 reqs      44.21 %
         |       | part miss          0 reqs       0.00 %
         |       | full miss      15410 reqs       9.10 %
         |       |     total      90218 reqs      53.32 %
         | write |     hit $      71753 reqs      42.40 %
         |       | part miss          0 reqs       0.00 %
         |       | full miss       5904 reqs       3.48 %
         |       |     total      77657 reqs      45.89 %
         |  pass |   read ->        226 reqs       0.13 %
         |       |  write <-       1094 reqs       0.64 %
         |     total             169195 reqs     100.00 %

  errors | cache |   read ->          0 errors     0.00 %
         |       |  write <-          0 errors     0.00 %
         |  core |   read ->          0 errors     0.00 %
         |       |  write <-          0 errors     0.00 %
         |     total                  0 errors     0.00 %
