  ... #423270 @ 53535.149 ms: miss_ratio = 0.85108, load_admit = 0.180, cache_tp = 527.776, core_tp = 7460.837
  ... #432450 @ 54035.653 ms: miss_ratio = 0.85035, load_admit = 0.200, cache_tp = 39.960, core_tp = 487.508
  ... #441590 @ 54535.738 ms: miss_ratio = 0.84982, load_admit = 0.170, cache_tp = 87.985, core_tp = 24227.899
  ... #450260 @ 55036.091 ms: miss_ratio = 0.84915, load_admit = 0.140, cache_tp = 39.972, core_tp = 2246.415
  ... #459340 @ 55536.219 ms: miss_ratio = 0.84815, load_admit = 0.130, cache_tp = 143.963, core_tp = 24673.664
  ... #468000 @ 56036.482 ms: miss_ratio = 0.84753, load_admit = 0.100, cache_tp = 23.987, core_tp = 1887.008
  ... #477120 @ 56536.807 ms: miss_ratio = 0.84664, load_admit = 0.090, cache_tp = 295.808, core_tp = 28709.351
  ... #485840 @ 57036.889 ms: miss_ratio = 0.84580, load_admit = 0.070, cache_tp = 231.962, core_tp = 5599.081
  ... #495030 @ 57537.362 ms: miss_ratio = 0.84508, load_admit = 0.080, cache_tp = 23.977, core_tp = 31330.325
  ... #504230 @ 58037.674 ms: miss_ratio = 0.84434, load_admit = 0.070, cache_tp = 71.955, core_tp = 30988.697
  ... #513410 @ 58538.078 ms: miss_ratio = 0.84342, load_admit = 0.080, cache_tp = 79.935, core_tp = 18065.413
  ... #522610 @ 59038.533 ms: miss_ratio = 0.84284, load_admit = 0.060, cache_tp = 95.913, core_tp = 8688.090
  ... #531850 @ 59538.558 ms: miss_ratio = 0.84202, load_admit = 0.020, cache_tp = 71.996, core_tp = 31270.445

Wait for extra secs... (60 - 75 secs)

  ~~~ #540370 @ 60038.869 ms: miss_ratio = 0.84118, load_admit = 0.010, cache_tp = 15.990, core_tp = 31260.557
  ~~~ #540370 @ 60539.116 ms: miss_ratio = 0.84117, load_admit = 0.010, cache_tp = 87.956, core_tp = 4038.000
  ~~~ #540370 @ 61039.381 ms: miss_ratio = 0.84116, load_admit = 0.070, cache_tp = 95.949, core_tp = 21812.458
  ~~~ #540370 @ 61539.617 ms: miss_ratio = 0.84112, load_admit = 0.040, cache_tp = 207.902, core_tp = 18151.431
  ~~~ #540370 @ 62040.062 ms: miss_ratio = 0.84108, load_admit = 0.020, cache_tp = 343.694, core_tp = 1710.478
  ~~~ #540370 @ 62540.283 ms: miss_ratio = 0.84102, load_admit = 0.040, cache_tp = 415.816, core_tp = 727.678
  ~~~ #540370 @ 63040.353 ms: miss_ratio = 0.84097, load_admit = 0.040, cache_tp = 335.953, core_tp = 31371.621
  ~~~ #540370 @ 63540.602 ms: miss_ratio = 0.84094, load_admit = 0.030, cache_tp = 223.889, core_tp = 14104.983
  ~~~ #540370 @ 64040.887 ms: miss_ratio = 0.84093, load_admit = 0.010, cache_tp = 87.950, core_tp = 583.667
  ~~~ #540370 @ 64541.200 ms: miss_ratio = 0.84093, load_admit = 0.030, cache_tp = 23.985, core_tp = 7643.213
  ~~~ #540370 @ 65041.518 ms: miss_ratio = 0.84092, load_admit = 0.030, cache_tp = 55.964, core_tp = 25607.736
  ~~~ #540370 @ 65541.686 ms: miss_ratio = 0.84091, load_admit = 0.050, cache_tp = 71.976, core_tp = 1119.624
  ~~~ #540370 @ 66041.817 ms: miss_ratio = 0.84087, load_admit = 0.030, cache_tp = 247.935, core_tp = 9741.438
  ~~~ #540370 @ 66542.039 ms: miss_ratio = 0.84074, load_admit = 0.020, cache_tp = 1023.547, core_tp = 2510.890
  ~~~ #540370 @ 67042.383 ms: miss_ratio = 0.84073, load_admit = 0.020, cache_tp = 47.967, core_tp = 8777.944
  ~~~ #540370 @ 67542.646 ms: miss_ratio = 0.84072, load_admit = 0.020, cache_tp = 79.958, core_tp = 31439.505
  ~~~ #540370 @ 68042.664 ms: miss_ratio = 0.84067, load_admit = 0.030, cache_tp = 327.988, core_tp = 29638.913
  ~~~ #540370 @ 68542.969 ms: miss_ratio = 0.84067, load_admit = 0.010, cache_tp = 15.990, core_tp = 31492.813
  ~~~ #540370 @ 69043.320 ms: miss_ratio = 0.84065, load_admit = 0.020, cache_tp = 135.905, core_tp = 31457.914
  ~~~ #540370 @ 69543.632 ms: miss_ratio = 0.84043, load_admit = 0.020, cache_tp = 1495.066, core_tp = 29861.336
  ~~~ #540370 @ 70044.082 ms: miss_ratio = 0.84015, load_admit = 0.070, cache_tp = 1974.226, core_tp = 29781.238
  ~~~ #540370 @ 70544.449 ms: miss_ratio = 0.84010, load_admit = 0.110, cache_tp = 327.759, core_tp = 31408.927
  ~~~ #540370 @ 71044.732 ms: miss_ratio = 0.83999, load_admit = 0.110, cache_tp = 823.534, core_tp = 13488.368
  ~~~ #540370 @ 71544.932 ms: miss_ratio = 0.83986, load_admit = 0.090, cache_tp = 991.602, core_tp = 11315.461
  ~~~ #540370 @ 72045.101 ms: miss_ratio = 0.83968, load_admit = 0.070, cache_tp = 1159.610, core_tp = 30285.814
  ~~~ #540370 @ 72545.522 ms: miss_ratio = 0.83966, load_admit = 0.090, cache_tp = 95.919, core_tp = 6786.280
  ~~~ #540370 @ 73045.926 ms: miss_ratio = 0.83957, load_admit = 0.050, cache_tp = 607.509, core_tp = 18041.426
  ~~~ #540370 @ 73546.121 ms: miss_ratio = 0.83956, load_admit = 0.070, cache_tp = 71.972, core_tp = 2702.943
  ~~~ #540370 @ 74046.265 ms: miss_ratio = 0.83955, load_admit = 0.070, cache_tp = 63.982, core_tp = 1767.491
  ~~~ #540370 @ 74546.570 ms: miss_ratio = 0.83955, load_admit = 0.060, cache_tp = 15.990, core_tp = 1862.863

Statistics:

   usage | cache |  occupied       1997 pages     24.37 %
         |       |      free       6195 pages     75.62 %
         |       |     clean       1997 pages    100.00 %
         |       |     dirty          0 pages      0.00 %

  blocks | cache |   read ->       4891 pages     40.56 %
         |       |  write <-       7165 pages     59.43 %
         |       |     total      12056 pages    100.00 %
         |  core |   read ->     341548 pages     91.80 %
         |       |  write <-      30473 pages      8.19 %
         |       |     total     372021 pages    100.00 %
         |     total             376912 pages    100.00 %

    reqs |  read |     hit $      55556 reqs      14.73 %
         |       | part miss          0 reqs       0.00 %
         |       | full miss     290693 reqs      77.12 %
         |       |     total     346249 reqs      91.86 %
         | write |     hit $       5161 reqs       1.36 %
