
Progress:

  ... #274712 @ 67015.733 ms: miss_ratio = 0.00224, load_admit = 1.000, cache_tp = 8485.403, core_tp = 0.000
  ... #276767 @ 67515.942 ms: miss_ratio = 0.00222, load_admit = 1.000, cache_tp = 8444.470, core_tp = 0.000
  ... #278812 @ 68016.073 ms: miss_ratio = 0.00220, load_admit = 1.000, cache_tp = 8477.779, core_tp = 0.000
  ... #280879 @ 68516.118 ms: miss_ratio = 0.00219, load_admit = 1.000, cache_tp = 8471.238, core_tp = 0.000
  ... #282948 @ 69016.289 ms: miss_ratio = 0.00217, load_admit = 1.000, cache_tp = 8469.104, core_tp = 0.000
  ... #285016 @ 69516.382 ms: miss_ratio = 0.00215, load_admit = 1.000, cache_tp = 8518.416, core_tp = 0.000
  ... #287070 @ 70016.460 ms: miss_ratio = 0.00214, load_admit = 1.000, cache_tp = 8470.679, core_tp = 0.000
  ... #289128 @ 70516.462 ms: miss_ratio = 0.00212, load_admit = 1.000, cache_tp = 8495.966, core_tp = 0.000
  ... #291193 @ 71016.687 ms: miss_ratio = 0.00211, load_admit = 1.000, cache_tp = 8508.171, core_tp = 0.000
  ... #293253 @ 71516.935 ms: miss_ratio = 0.00209, load_admit = 1.000, cache_tp = 8451.808, core_tp = 0.000
  ... #295311 @ 72017.167 ms: miss_ratio = 0.00208, load_admit = 1.000, cache_tp = 8484.063, core_tp = 0.000
  ... #297369 @ 72517.257 ms: miss_ratio = 0.00206, load_admit = 1.000, cache_tp = 8478.474, core_tp = 0.000
  ... #299434 @ 73017.380 ms: miss_ratio = 0.00205, load_admit = 1.000, cache_tp = 8461.918, core_tp = 0.000
  ... #301487 @ 73517.425 ms: miss_ratio = 0.00204, load_admit = 1.000, cache_tp = 8415.243, core_tp = 0.000
  ... #303535 @ 74017.495 ms: miss_ratio = 0.00202, load_admit = 1.000, cache_tp = 8446.817, core_tp = 0.000
  ... #305603 @ 74517.686 ms: miss_ratio = 0.00201, load_admit = 1.000, cache_tp = 8484.759, core_tp = 0.000
  ... #307653 @ 75017.889 ms: miss_ratio = 0.00200, load_admit = 1.000, cache_tp = 8436.575, core_tp = 0.000
  ... #309706 @ 75517.947 ms: miss_ratio = 0.00198, load_admit = 1.000, cache_tp = 8463.018, core_tp = 0.000
  ... #311766 @ 76018.182 ms: miss_ratio = 0.00197, load_admit = 1.000, cache_tp = 8476.016, core_tp = 0.000
  ... #313817 @ 76518.356 ms: miss_ratio = 0.00196, load_admit = 1.000, cache_tp = 8461.056, core_tp = 0.000
