
Progress:

  ... #225206 @ 94538.854 ms: miss_ratio = 0.00273, load_admit = 0.650, cache_tp = 6490.937, core_tp = 3021.643
  ... #226395 @ 95039.232 ms: miss_ratio = 0.00271, load_admit = 0.670, cache_tp = 6403.159, core_tp = 3101.655
  ... #227595 @ 95539.404 ms: miss_ratio = 0.00270, load_admit = 0.660, cache_tp = 6365.810, core_tp = 3222.891
  ... #228783 @ 96039.479 ms: miss_ratio = 0.00268, load_admit = 0.680, cache_tp = 6439.034, core_tp = 3071.539
  ... #229971 @ 96539.480 ms: miss_ratio = 0.00267, load_admit = 0.670, cache_tp = 6527.987, core_tp = 2967.994
  ... #231162 @ 97039.510 ms: miss_ratio = 0.00266, load_admit = 0.690, cache_tp = 6583.605, core_tp = 2943.823
  ... #232344 @ 97539.734 ms: miss_ratio = 0.00264, load_admit = 0.680, cache_tp = 6517.080, core_tp = 2934.685
  ... #233537 @ 98040.001 ms: miss_ratio = 0.00263, load_admit = 0.680, cache_tp = 6604.473, core_tp = 2934.433
  ... #234733 @ 98540.087 ms: miss_ratio = 0.00262, load_admit = 0.670, cache_tp = 6422.895, core_tp = 3151.458
  ... #235924 @ 99040.377 ms: miss_ratio = 0.00260, load_admit = 0.690, cache_tp = 6468.248, core_tp = 3054.229
  ... #237105 @ 99540.388 ms: miss_ratio = 0.00259, load_admit = 0.680, cache_tp = 6431.858, core_tp = 3007.934
  ... #238292 @ 100040.753 ms: miss_ratio = 0.00258, load_admit = 0.700, cache_tp = 6475.273, core_tp = 3021.794
  ... #239477 @ 100540.855 ms: miss_ratio = 0.00256, load_admit = 0.710, cache_tp = 6454.683, core_tp = 3023.383
  ... #240664 @ 101041.174 ms: miss_ratio = 0.00255, load_admit = 0.710, cache_tp = 6779.675, core_tp = 2710.271
  ... #241863 @ 101541.228 ms: miss_ratio = 0.00254, load_admit = 0.700, cache_tp = 6991.245, core_tp = 2599.719
  ... #243048 @ 102041.719 ms: miss_ratio = 0.00253, load_admit = 0.720, cache_tp = 6561.557, core_tp = 2909.143
  ... #244250 @ 102541.851 ms: miss_ratio = 0.00251, load_admit = 0.710, cache_tp = 6966.161, core_tp = 2647.301
  ... #245438 @ 103041.913 ms: miss_ratio = 0.00250, load_admit = 0.730, cache_tp = 6791.158, core_tp = 2719.663
  ... #246627 @ 103542.209 ms: miss_ratio = 0.00249, load_admit = 0.740, cache_tp = 6875.929, core_tp = 2622.448
  ... #247816 @ 104042.374 ms: miss_ratio = 0.00248, load_admit = 0.740, cache_tp = 7037.678, core_tp = 2471.185
  ... #249010 @ 104542.502 ms: miss_ratio = 0.00247, load_admit = 0.750, cache_tp = 6798.260, core_tp = 2751.296
  ... #250202 @ 105042.803 ms: miss_ratio = 0.00245, load_admit = 0.750, cache_tp = 6995.789, core_tp = 2534.474
  ... #251390 @ 105542.963 ms: miss_ratio = 0.00244, load_admit = 0.740, cache_tp = 7125.720, core_tp = 2375.240
  ... #252587 @ 106043.148 ms: miss_ratio = 0.00243, load_admit = 0.730, cache_tp = 6997.411, core_tp = 2559.053
  ... #253776 @ 106543.382 ms: miss_ratio = 0.00242, load_admit = 0.750, cache_tp = 7132.662, core_tp = 2390.881
  ... #254982 @ 107043.505 ms: miss_ratio = 0.00241, load_admit = 0.740, cache_tp = 7262.213, core_tp = 2367.418
  ... #256174 @ 107543.931 ms: miss_ratio = 0.00240, load_admit = 0.760, cache_tp = 7018.021, core_tp = 2509.862
  ... #257373 @ 108044.012 ms: miss_ratio = 0.00239, load_admit = 0.730, cache_tp = 7134.844, core_tp = 2471.600
  ... #258555 @ 108544.123 ms: miss_ratio = 0.00237, load_admit = 0.750, cache_tp = 7062.432, core_tp = 2391.469
  ... #259748 @ 109044.319 ms: miss_ratio = 0.00236, load_admit = 0.760, cache_tp = 7181.185, core_tp = 2335.085
  ... #260938 @ 109544.367 ms: miss_ratio = 0.00235, load_admit = 0.760, cache_tp = 7183.310, core_tp = 2359.773
